Designator,Footprint,Quantity,Value,LCSC Part #
"_120, _119, _118, _117, _116, _115, _114, _113, _112, _111, _110, _109, _108, _107, _106, _105, _104, _103, _102, _101, _100, _99, _98, _97, _96, _95, _94, _93, _92, _91, _90, _89, _88, _87, _86, _85, _84, _83, _82, _81, _80, _79, _78, _77, _76, _75, _74, _73, _72, _71, _70, _69, _68, _67, _66, _65, _64, _63, _62, _61, _60, _59, _58, _57, _56, _55, _54, _53, _52, _51, _50, _49, _48, _47, _46, _45, _44, _43, _42, _41, _40, _39, _38, _37, _36, _35, _34, _33, _32, _31, _30, _29, _28, _27, _26, _25, _24, _23, _22, _21, _20, _19, _18, _17, _16, _15, _14, _13, _12, _11, _10, _9, _8, _7, _6, _5, _4, _3, _2, ",,120,,
ANT1,ANT_47948-0001_MOL,1,479480001,
ANT2,SR4W035_4X6_ANT,1,SR4W035,
"C1, C11, C17, C21, C23, C25, C30, C33, C41, C9",0402,10,100nF,
"C10, C12, C13, C24, C31",0805,5,10uF,
"C14, C26, C27, C32, C36",0402,5,1uF,
"C15, C18, C19, C43, C44, C5",0402,6,20pF,
"C16, C22, C28",0402,3,10nF,
C2,0402,1,2.2uF,
C20,0402,1,470nF,
C29,CP_Right_Angle_D6.3_P2.50_H16.5,1,100uF,
C3,0402,1,470pF,
C34,0402,1,1.8pF,
C35,0402,1,1.2pF,
"C37, C38",0402,2,C,
"C39, C40, C42",0402,3,100pF,
C4,1206,1,10uF,
C6,0402,1,22n,
C7,0402,1,220p,
C8,CP_Radial_D6.3mm_P2.50mm,1,330uF,
CR1,SMB_STM,1,STPS2L25U,
D1,D_SOD-123,1,Z3.3V,
"D2, D3",0805,2,CTS05S30,
"D4, D6",0805,2,Green LED,
D5,0805,1,Yellow LED,
FL1,FIL_2450FM07D0034T,1,2450FM07D0034T,
J1,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,1,Battery,
"J10, J11, J12, J13, J14, J15, J16, J17, J19, J20, J7, J8, J9",SolderWirePad_1x01_SMD_1x2mm,13,Conn_01x01_Pin,
J2,JST_S02B-PASK-2_LF__SN__1,1,ESC_R,
J3,JST_S02B-PASK-2_LF__SN__1,1,ESC_L,
J4,JST_S04B-PASK-2_LF__SN_,1,LED_Strip,
J6,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
L1,DR74,1,SRU1038-150Y,
L2,0402,1,L,
L3,0402,1,3nH,
R1,0402,1,18K,
"R10, R21, R22, R9",0402,4,33,
"R11, R13, R14, R15, R16, R19, R3, R36",0402,8,10K,
R12,0402,1,12K,
"R17, R18",0402,2,3.3k,
"R2, R5",0402,2,2K,
R20,0402,1,30,
"R23, R24, R26, R27, R28, R29, R30, R31",0402,8,0,
"R25, R35",0402,2,510,
"R32, R33, R34",0402,3,100,
R4,0402,1,6.1K,
R6,0402,1,4.7K,
"R7, R8",0402,2,5.1K,
"SW1, SW2",Pad_Button,2,SW_Push,
TP1,TestPoint_Pad_D1.0mm,1,Vref,
TP10,Test_Via,1,A1_CS,
TP11,Test_Via,1,A1_INT,
TP12,Test_Via,1,A2_CS,
TP13,Test_Via,1,A2_INT,
TP14,Test_Via,1,MAG_CS,
TP15,Test_Via,1,MAG_INT,
TP16,Test_Via,1,BATT,
TP17,Test_Via_small,1,SX_MOSI,
TP18,Test_Via,1,LED_MOSI,
TP19,Test_Via,1,LED_SCK,
TP2,TestPoint_Pad_D1.0mm,1,5v,
TP20,Test_Via,1,ESC_L,
TP21,Test_Via,1,ESC_R,
TP22,Test_Via_small,1,SX_SCK,
TP23,Test_Via_small,1,SX_CS,
TP24,Test_Via_small,1,Busy,
TP25,Test_Via_small,1,RST,
TP26,Test_Via,1,5v,
TP27,Test_Via,1,3v3,
"TP28, TP29, TP30",Test_Via,3,GND,
TP3,TestPoint_Pad_D1.0mm,1,3v3,
TP4,Test_Via_small,1,SX_MISO,
TP5,Test_Via,1,MISO,
TP6,Test_Via,1,MOSI,
TP7,Test_Via,1,SCK,
TP8,Test_Via,1,ELSR_TX,
TP9,Test_Via,1,ELSR_RX,
U1,MMC5983MA_MEM,1,MMC5983MA,
U10,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm,1,ESP32-S3,
"U2, U3",QFN_31DLTR_STM,2,H3LIS331DLTR,
U4,SOIC-8_5.23x5.23mm_P1.27mm,1,W25X20CLZP,
U6,HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.1mm_ThermalVias,1,L5973D,
U7,SOT-23-5,1,MIC5219-3.3YM5,
U8,QFN32_5X5_EXP,1,ESP8285H16,
U9,QFN24_4X4_SEM,1,SX1280IMLTRT,
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,40MHz,
Y2,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,52MHz,
Y3,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,26MHz,
