Designator,Mid X,Mid Y,Rotation,Layer
_120,87.6,-78.1,0.0,top
_119,85.0,-79.6,0.0,top
_118,74.6,-78.1,0.0,top
_117,117.55,-79.6,0.0,top
_116,88.95,-78.1,0.0,top
_115,113.6,-78.1,0.0,top
_114,75.95,-78.1,0.0,top
_113,98.0,-78.85,0.0,top
_112,121.400001,-78.1,0.0,top
_111,92.8,-78.85,0.0,top
_110,96.75,-78.1,0.0,top
_109,98.0,-79.6,0.0,top
_108,116.2,-78.85,0.0,top
_107,124.0,-79.6,0.0,top
_106,79.8,-78.1,0.0,top
_105,109.750001,-78.85,0.0,top
_104,83.75,-78.1,0.0,top
_103,94.15,-78.1,0.0,top
_102,95.4,-78.85,0.0,top
_101,91.55,-78.1,0.0,top
_100,117.55,-78.85,0.0,top
_99,101.95,-79.6,0.0,top
_98,82.4,-78.1,0.0,top
_97,92.8,-78.1,0.0,top
_96,105.8,-78.1,0.0,top
_95,87.6,-79.6,0.0,top
_94,95.4,-78.1,0.0,top
_93,96.75,-78.85,0.0,top
_92,101.95,-78.1,0.0,top
_91,79.8,-78.85,0.0,top
_90,112.35,-78.85,0.0,top
_89,83.75,-78.85,0.0,top
_88,75.95,-79.6,0.0,top
_87,122.750001,-78.1,0.0,top
_86,100.6,-79.6,0.0,top
_85,82.4,-78.85,0.0,top
_84,118.8,-78.85,0.0,top
_83,83.75,-79.6,0.0,top
_82,99.35,-79.6,0.0,top
_81,108.400001,-78.1,0.0,top
_80,90.2,-78.1,0.0,top
_79,120.15,-79.6,0.0,top
_78,121.400001,-79.6,0.0,top
_77,122.750001,-78.85,0.0,top
_76,113.6,-79.6,0.0,top
_75,120.15,-78.85,0.0,top
_74,107.15,-78.85,0.0,top
_73,117.55,-78.1,0.0,top
_72,111.0,-78.1,0.0,top
_71,91.55,-78.85,0.0,top
_70,109.750001,-78.1,0.0,top
_69,85.0,-78.1,0.0,top
_68,86.35,-78.85,0.0,top
_67,104.55,-78.1,0.0,top
_66,94.15,-78.85,0.0,top
_65,109.750001,-79.6,0.0,top
_64,86.35,-79.6,0.0,top
_63,82.4,-79.6,0.0,top
_62,92.8,-79.6,0.0,top
_61,116.2,-78.1,0.0,top
_60,81.15,-78.85,0.0,top
_59,118.8,-79.6,0.0,top
_58,113.6,-78.85,0.0,top
_57,108.400001,-78.85,0.0,top
_56,111.0,-78.85,0.0,top
_55,88.95,-78.85,0.0,top
_54,124.0,-78.1,0.0,top
_53,125.35,-79.6,0.0,top
_52,95.4,-79.6,0.0,top
_51,107.15,-79.6,0.0,top
_50,111.0,-79.6,0.0,top
_49,91.55,-79.6,0.0,top
_48,112.35,-78.1,0.0,top
_47,124.0,-78.85,0.0,top
_46,81.15,-78.1,0.0,top
_45,114.95,-78.85,0.0,top
_44,74.6,-79.6,0.0,top
_43,116.2,-79.6,0.0,top
_42,103.2,-78.1,0.0,top
_41,78.55,-79.6,0.0,top
_40,100.6,-78.85,0.0,top
_39,105.8,-79.6,0.0,top
_38,125.35,-78.1,0.0,top
_37,122.750001,-79.6,0.0,top
_36,100.6,-78.1,0.0,top
_35,87.6,-78.85,0.0,top
_34,112.35,-79.6,0.0,top
_33,105.8,-78.85,0.0,top
_32,118.8,-78.1,0.0,top
_31,75.95,-78.85,0.0,top
_30,79.8,-79.6,0.0,top
_29,85.0,-78.85,0.0,top
_28,125.35,-78.85,0.0,top
_27,114.95,-79.6,0.0,top
_26,108.400001,-79.6,0.0,top
_25,99.35,-78.1,0.0,top
_24,98.0,-78.1,0.0,top
_23,99.35,-78.85,0.0,top
_22,77.2,-79.6,0.0,top
_21,94.15,-79.6,0.0,top
_20,86.35,-78.1,0.0,top
_19,90.2,-79.6,0.0,top
_18,103.2,-79.6,0.0,top
_17,121.400001,-78.85,0.0,top
_16,101.95,-78.85,0.0,top
_15,74.6,-78.85,0.0,top
_14,104.55,-78.85,0.0,top
_13,114.95,-78.1,0.0,top
_12,107.15,-78.1,0.0,top
_11,104.55,-79.6,0.0,top
_10,78.55,-78.85,0.0,top
_9,77.2,-78.1,0.0,top
_8,120.15,-78.1,0.0,top
_7,88.95,-79.6,0.0,top
_6,81.15,-79.6,0.0,top
_5,77.2,-78.85,0.0,top
_4,96.75,-79.6,0.0,top
_3,90.2,-78.85,0.0,top
_2,103.2,-78.85,0.0,top
,78.55,-78.1,0.0,top
ANT1,83.6,-70.0,270.0,bottom
ANT2,77.75,-52.5,180.0,top
C1,119.0,-55.5,0.0,top
