Designator,Mid X,Mid Y,Rotation,Layer
C1,76.863552,-35.676,180.0,bottom
C2,66.463552,-35.676,180.0,bottom
C3,56.063552,-35.676,180.0,bottom
C4,45.663552,-35.676,180.0,bottom
C5,35.263552,-35.676,180.0,bottom
D1,77.263552,-33.776,180.0,bottom
D10,53.863552,-33.776,180.0,bottom
D11,51.263552,-33.776,180.0,bottom
D12,48.663552,-33.776,180.0,bottom
D13,46.063552,-33.776,180.0,bottom
D14,43.463551,-33.776,180.0,bottom
D15,40.863552,-33.776,180.0,bottom
D16,38.263552,-33.776,180.0,bottom
D17,35.663552,-33.776,180.0,bottom
D18,33.063552,-33.776,180.0,bottom
D19,30.463551,-33.776,180.0,bottom
D2,74.663552,-33.776,180.0,bottom
D20,27.863552,-33.776,180.0,bottom
D3,72.063552,-33.776,180.0,bottom
D4,69.463552,-33.776,180.0,bottom
D5,66.863552,-33.776,180.0,bottom
D6,64.263552,-33.776,180.0,bottom
D7,61.663552,-33.776,180.0,bottom
D8,59.063552,-33.776,180.0,bottom
D9,56.463552,-33.776,180.0,bottom
F1,41.363552,-31.476,180.0,bottom
J1,41.563552,-31.851,180.0,top
